Comunidad;Anyo;Labor;Unidad;Total
Navarra (Comunidad Foral de);2013;CIGARRILLOS;euros;220531248
Navarra (Comunidad Foral de);2013;CIGARROS;euros;14588202
Navarra (Comunidad Foral de);2013;P. LIAR;euros;19686787
Navarra (Comunidad Foral de);2013;P. PIPA;euros;357534
País Vasco;2013;CIGARRILLOS;euros;558864102
País Vasco;2013;CIGARROS;euros;47563000
País Vasco;2013;P. LIAR;euros;37346616
País Vasco;2013;P. PIPA;euros;751320
Rioja (La);2013;CIGARRILLOS;euros;71865000
Rioja (La);2013;CIGARROS;euros;7175293
Rioja (La);2013;P. LIAR;euros;5351895
Rioja (La);2013;P. PIPA;euros;190351
Andalucía;2013;CIGARRILLOS;cantidad;357326519
Andalucía;2013;CIGARROS;cantidad;340442461
Andalucía;2013;P. LIAR;cantidad;1115909
Andalucía;2013;P. PIPA;cantidad;138011
Aragón;2013;CIGARRILLOS;cantidad;75350070
Aragón;2013;CIGARROS;cantidad;102636286
Aragón;2013;P. LIAR;cantidad;200276
Aragón;2013;P. PIPA;cantidad;10469
Asturias (Principado de);2013;CIGARRILLOS;cantidad;60767978
Asturias (Principado de);2013;CIGARROS;cantidad;88840338
Asturias (Principado de);2013;P. LIAR;cantidad;132627
Asturias (Principado de);2013;P. PIPA;cantidad;4255
Balears (Illes);2013;CIGARRILLOS;cantidad;86923848
Balears (Illes);2013;CIGARROS;cantidad;56949370
Balears (Illes);2013;P. LIAR;cantidad;303406
Balears (Illes);2013;P. PIPA;cantidad;13561
Cantabria;2013;CIGARRILLOS;cantidad;33201794
Cantabria;2013;CIGARROS;cantidad;52957882
Cantabria;2013;P. LIAR;cantidad;75353
Cantabria;2013;P. PIPA;cantidad;3244
Castilla y León;2013;CIGARRILLOS;cantidad;130542893
Castilla y León;2013;CIGARROS;cantidad;179615855
Castilla y León;2013;P. LIAR;cantidad;311124
Castilla y León;2013;P. PIPA;cantidad;25337
Castilla-La Mancha;2013;CIGARRILLOS;cantidad;110633497
Castilla-La Mancha;2013;CIGARROS;cantidad;117794817
Castilla-La Mancha;2013;P. LIAR;cantidad;361506
Castilla-La Mancha;2013;P. PIPA;cantidad;34584
Cataluña;2013;CIGARRILLOS;cantidad;440909598
Cataluña;2013;CIGARROS;cantidad;367815949
Cataluña;2013;P. LIAR;cantidad;1370346
Cataluña;2013;P. PIPA;cantidad;102155
Comunidad Valenciana;2013;CIGARRILLOS;cantidad;284678441
Comunidad Valenciana;2013;CIGARROS;cantidad;267620070
Comunidad Valenciana;2013;P. LIAR;cantidad;1109854
Comunidad Valenciana;2013;P. PIPA;cantidad;85991
Extremadura;2013;CIGARRILLOS;cantidad;62472842
Extremadura;2013;CIGARROS;cantidad;83020251
Extremadura;2013;P. LIAR;cantidad;194735
Extremadura;2013;P. PIPA;cantidad;14564
Galicia;2013;CIGARRILLOS;cantidad;134969904
Galicia;2013;CIGARROS;cantidad;169201790
Galicia;2013;P. LIAR;cantidad;309039
Galicia;2013;P. PIPA;cantidad;9441
Madrid (Comunidad de);2013;CIGARRILLOS;cantidad;315999791
Madrid (Comunidad de);2013;CIGARROS;cantidad;190056067
Madrid (Comunidad de);2013;P. LIAR;cantidad;781091
Madrid (Comunidad de);2013;P. PIPA;cantidad;49889
Murcia (Región de);2013;CIGARRILLOS;cantidad;84192136
Murcia (Región de);2013;CIGARROS;cantidad;59705815
Murcia (Región de);2013;P. LIAR;cantidad;265568
Murcia (Región de);2013;P. PIPA;cantidad;21039
