Comunidad;Año;Labor;Totales;Unidades
Andalucía;2014;P. LIAR;159363981;euros
Andalucía;2014;P. PIPA;13964454;euros
Aragón;2014;CIGARRILLOS;324712563;euros
Aragón;2014;CIGARROS;20176355;euros
Aragón;2014;P. LIAR;30125628;euros
Aragón;2014;P. PIPA;1222180;euros
Asturias (Principado de);2014;CIGARRILLOS;257763686;euros
Asturias (Principado de);2014;CIGARROS;17979579;euros
Asturias (Principado de);2014;P. LIAR;20439309;euros
Asturias (Principado de);2014;P. PIPA;519997;euros
Balears (Illes);2014;CIGARRILLOS;385113675;euros
Balears (Illes);2014;CIGARROS;15727857;euros
Balears (Illes);2014;P. LIAR;48489822;euros
Balears (Illes);2014;P. PIPA;1231927;euros
Cantabria;2014;CIGARRILLOS;143905545;euros
Cantabria;2014;CIGARROS;10902226;euros
Cantabria;2014;P. LIAR;11586834;euros
Cantabria;2014;P. PIPA;345302;euros
Castilla y León;2014;CIGARRILLOS;554458853;euros
Castilla y León;2014;CIGARROS;40581156;euros
Castilla y León;2014;P. LIAR;47243946;euros
Castilla y León;2014;P. PIPA;2661355;euros
Castilla-La Mancha;2014;CIGARRILLOS;475109434;euros
Castilla-La Mancha;2014;CIGARROS;22571821;euros
Castilla-La Mancha;2014;P. LIAR;51947395;euros
Castilla-La Mancha;2014;P. PIPA;4177036;euros
Cataluña;2014;CIGARRILLOS;1914891248;euros
Cataluña;2014;CIGARROS;94553948;euros
Cataluña;2014;P. LIAR;216228455;euros
Cataluña;2014;P. PIPA;7164931;euros
Comunidad Valenciana;2014;CIGARRILLOS;1225746520;euros
Comunidad Valenciana;2014;CIGARROS;51430475;euros
Comunidad Valenciana;2014;P. LIAR;161585603;euros
Comunidad Valenciana;2014;P. PIPA;9874773;euros
Extremadura;2014;CIGARRILLOS;264107007;euros
Extremadura;2014;CIGARROS;14562173;euros
Extremadura;2014;P. LIAR;27096427;euros
Extremadura;2014;P. PIPA;2324317;euros
Galicia;2014;CIGARRILLOS;580149119;euros
Galicia;2014;CIGARROS;32292517;euros
Galicia;2014;P. LIAR;48524348;euros
Galicia;2014;P. PIPA;1193453;euros
Madrid (Comunidad de);2014;CIGARRILLOS;1357184752;euros
Madrid (Comunidad de);2014;CIGARROS;48082698;euros
Madrid (Comunidad de);2014;P. LIAR;121245019;euros
Madrid (Comunidad de);2014;P. PIPA;4109456;euros
